Reporting Date,Sale Month,Store,Artist,Title,ISRC,UPC,Quantity,Team Percentage,Song/Album,Country of Sale,Songwriter Royalties Withheld,Earnings (USD)
2022-12-31,2022-10,Spotify,Lamanna,Past Life,QZRP42101051,196833204514.0,4,100,Song,US,0,0.013031
2022-12-31,2022-10,Spotify,Lamanna,Past Life,QZRP42101051,196833204514.0,4,100,Song,US,0,0.009724
2022-12-31,2022-10,Spotify,Lamanna,Mansions,QZMEM2196948,196398214584.0,2,100,Song,US,0,0.005189
2022-12-30,2022-10,Spotify,Lamanna,Lost (feat. overcam),QZNWW2163323,196513926071.0,1,100,Song,BR,0,0.00279204
2022-12-30,2022-10,Resso,Lamanna,Lost (feat. overcam),QZNWW2163323,196513926071.0,14,100,Song,ID,0,0.00063964
2022-12-30,2022-10,Spotify,Lamanna,Lost (feat. overcam),QZNWW2163323,196513926071.0,2,100,Song,GB,0,0.00406016
2022-12-31,2022-10,Spotify,Lamanna,Lost (feat. overcam),QZNWW2163323,196513926071.0,6,100,Song,US,0,0.015568
2022-12-23,2022-10,Apple Music,Lamanna,Addicted,QZNWR2189640,196397065880.0,1,100,Song,US,0,0.00434395
2022-12-30,2022-10,Spotify,Lamanna,Addicted,QZNWR2189640,196397065880.0,1,100,Song,TW,0,0.00013139
2022-12-31,2022-10,Spotify,Lamanna,Addicted,QZNWR2189640,196397065880.0,4,100,Song,US,0,0.010379
2022-12-30,2022-10,Spotify,Lamanna,Like A Light,QZES72283869,196835419329.0,1,100,Song,CA,0,0.00419283
2022-12-30,2022-10,Spotify,Lamanna,Agony,QZK6N1932121,194997186479.0,7,100,Song,DE,0,0.01671093
2022-12-30,2022-10,Spotify,Lamanna,Like A Light,QZES72283869,196835419329.0,1,100,Song,TW,0,0.00013139
2022-12-30,2022-10,Resso,Lamanna,Agony,QZK6N1932121,194997186479.0,1,100,Song,ID,0,4.569e-05
2022-12-31,2022-10,Spotify,Lamanna,Like A Light,QZES72283869,196835419329.0,8,100,Song,US,0,0.019448
